BomCodeId,GoodsId
135,32706
135,32825
135,36930
135,37709
135,43330
135,46375
135,46376
135,46377
135,46378
135,46379
136,525
136,527
136,528
136,529
136,531
136,533
136,6041
136,6042
136,16683
136,18634
136,18788
136,30907
136,32707
136,32826
136,36931
136,37710
137,537
137,539
137,540
137,541
137,546
137,548
137,6043
137,6044
137,16684
137,18637
137,18791
137,30908
137,32684
137,32708
137,36932
137,37711
138,552
138,554
138,555
138,556
138,561
138,563
138,17296
138,18646
138,18800
138,30943
138,32668
138,32844
138,36959
138,37688
138,46455
138,46456
138,46457
138,46458
138,46459
138,46460
138,46461
138,46462
138,46463
139,2946
139,2948
139,2949
139,2950
139,2951
139,3076
139,16690
139,18653
139,18807
139,30833
139,32745
139,46464
139,46465
139,46466
139,46467
139,46468
139,46469
139,46470
139,46471
143,2966
143,2968
143,2969
143,2970
143,2972
143,2974
143,6045
143,6046
143,16691
143,18632
143,18786
143,30909
143,32656
143,32709
143,36933
143,37712
143,43333
143,46486
143,46487
143,46488
143,46489
143,46490
143,46491
144,2978
144,2980
144,2981
144,2982
144,2984
144,2986
144,6047
144,6048
144,16692
144,18635
144,18789
144,30910
144,32657
144,32710
144,36934
144,37713
145,2990
145,2992
145,2993
145,2994
145,2999
145,3001
145,6049
145,6050
145,16693
145,18638
145,18792
145,30911
145,32685
145,32711
145,36935
145,37714
146,568
146,570
146,3005
146,3007
146,3008
146,3009
146,17243
146,18647
146,18801
146,30950
146,32666
146,32667
146,36960
146,37689
147,592
147,594
147,595
147,596
147,597
147,3099
147,16696
147,18654
147,18808
147,30831
147,32746
147,46520
147,46521
147,46522
147,46523
147,46524
147,46525
147,46526
150,32564
151,748
151,750
151,751
151,752
151,754
151,756
151,6051
151,6052
151,16700
151,18627
151,18781
151,30924
151,32781
151,32819
151,36936
151,37718
151,43346
151,46636
151,46637
151,46639
151,46641
151,46642
151,46643
151,46644
152,758
152,760
152,761
152,762
152,763
152,3182
152,16701
152,18628
152,18782
152,30925
152,32728
152,32729
152,37719
152,43342
152,43343
152,46561
152,46562
152,46563
152,46564
152,46565
152,46566
152,46567
152,46568
152,46569
153,767
153,769
153,770
153,771
153,773
153,775
153,6053
153,6054
153,16702
153,18623
153,18777
153,30926
153,32782
153,32820
153,36937
153,36938
153,37720
153,46571
153,46573
153,46574
153,46576
153,46577
153,46579
153,46580
154,779
154,781
154,782
154,783
154,785
154,787
154,6055
154,6056
154,16703
154,18624
154,18778
154,30927
154,32719
154,32821
154,36939
154,36940
154,37721
154,46584
154,46585
154,46586
154,46587
154,46589
154,46593
154,46596
155,791
155,793
155,794
155,795
155,797
155,799
155,6057
155,6058
155,16704
155,18626
155,18780
155,30930
155,32681
155,32682
155,36941
155,37722
155,43347
155,46646
155,46648
155,46650
155,46652
155,46653
155,46655
156,803
156,805
156,806
156,807
156,809
156,811
156,6059
156,6060
156,16705
156,18620
156,18774
156,30931
156,32721
156,32822
156,36942
156,37249
156,37723
156,46601
156,46604
156,46607
156,46609
156,46612
156,46614
156,46617
157,815
157,817
157,818
157,819
157,820
157,821
157,6061
157,6062
157,16706
157,18621
157,18775
157,30932
157,32724
157,32725
157,36943
157,37250
157,37724
157,46622
157,46623
157,46625
157,46633
157,46635
157,46638
157,46640
158,3197
158,3199
158,3200
158,3201
158,3203
158,3205
158,19044
158,19045
158,30928
158,32718
158,32836
158,37725
158,46645
158,46647
158,46649
158,46651
158,46654
158,46656
158,46658
158,46659
158,46662
159,3207
159,3209
159,3210
159,3211
159,3213
159,3215
159,30929
159,32720
159,46590
159,46591
159,46592
159,46595
159,46597
159,46598
160,3217
160,3219
160,3220
160,3221
160,3223
160,3225
160,19046
160,19047
160,30935
160,32722
160,46600
160,46602
160,46605
160,46608
160,46611
161,3227
161,3229
161,3230
161,3231
161,3233
161,3235
161,30936
161,32723
161,46615
161,46616
161,46618
161,46619
161,46620
161,46621
162,894
162,896
162,897
162,898
162,899
162,3237
162,16707
162,18802
162,30955
162,32737
162,32845
162,46624
162,46626
162,46627
162,46628
162,46630
162,46631
162,46632
163,903
163,905
163,906
163,907
163,909
163,911
163,6063
163,6064
163,16708
163,18649
163,18803
163,30940
163,32738
163,32739
163,36948
163,37726
163,43325
163,46340
163,46341
163,46342
163,46343
163,46344
163,46345
163,46346
164,915
164,917
164,918
164,919
164,921
164,923
164,6065
164,6066
164,16709
164,18650
164,18804
164,30941
164,32740
164,32741
164,36949
164,37727
164,43331
164,46472
164,46473
164,46474
164,46475
164,46476
164,46477
164,46478
165,927
165,929
165,930
165,931
165,932
165,3240
165,6067
165,6068
165,16710
165,18625
165,18779
165,30933
165,32653
165,32726
165,36944
165,36945
165,37728
165,46661
165,46663
165,46665
165,46666
165,46668
165,46669
165,46671
166,936
166,938
166,939
166,940
166,942
166,944
166,6069
166,6070
166,16711
166,18622
166,18776
166,30934
166,32654
166,32655
166,36946
166,36947
166,37729
