Id,StockUpDeptId,MaterialId,StockUpFlowId
28146,2,17352,10
28155,2,17353,10
28154,2,17354,10
28153,2,17356,10
28152,2,17357,10
5784,2,17358,10
5785,2,17359,10
5786,2,17361,10
5787,2,17362,10
5788,2,17363,10
5789,2,17364,10
5790,2,17365,10
5791,2,17366,10
5792,2,17367,10
5793,2,17368,10
5794,2,17369,10
5795,2,17370,10
5364,2,17372,10
5365,2,17373,10
5366,2,17374,10
5367,2,17378,10
5368,2,17379,10
5369,2,17381,10
28455,2,18674,10
28454,2,18828,10
5370,2,19049,10
5371,2,19050,10
5531,2,19068,10
5796,2,19324,10
5797,2,19325,10
21292,2,19387,10
5532,2,19458,10
5533,2,19459,10
5534,2,19460,10
5535,2,19461,10
5536,2,19462,10
5537,2,19463,10
5538,2,19464,10
5539,2,19465,10
5540,2,19502,10
5541,2,19533,10
5542,2,19549,10
5543,2,19550,10
5544,2,19556,10
5545,2,19561,10
5546,2,19563,10
5547,2,19566,10
5548,2,19567,10
5549,2,19579,10
5799,2,19828,10
5800,2,19829,10
5801,2,19830,10
5802,2,19831,10
5803,2,19832,10
5804,2,19833,10
5805,2,19834,10
5378,2,19836,10
5379,2,19907,10
5380,2,19908,10
5550,2,19984,10
5551,2,19985,10
5552,2,19986,10
5553,2,19987,10
5381,2,19990,10
5382,2,19991,10
5383,2,19992,10
28288,2,19993,10
28287,2,19994,10
28286,2,19995,10
5554,2,20002,10
5556,2,20022,10
5806,2,20026,10
28193,2,20046,10
28192,2,20047,10
28191,2,20048,10
28190,2,20049,10
5687,2,20286,10
26427,2,20303,10
5452,2,20539,10
5453,2,20540,10
5454,2,20541,10
5455,2,20542,10
5456,2,20543,10
5457,2,20545,10
5458,2,20546,10
5459,2,20547,10
5460,2,20548,10
5461,2,20551,10
5462,2,20552,10
5463,2,20553,10
5464,2,20554,10
5465,2,20556,10
5466,2,20557,10
5467,2,20558,10
5468,2,20559,10
5469,2,20560,10
5470,2,20561,10
5471,2,20562,10
5480,2,20622,10
5481,2,20623,10
5483,2,20635,10
5484,2,20645,10
5557,2,20654,10
5485,2,20660,10
5807,2,20691,10
5808,2,20692,10
5809,2,20693,10
5399,2,20706,10
5400,2,20707,10
5401,2,20708,10
5486,2,22315,10
5560,2,22528,10
5487,2,22531,10
5816,2,22747,10
5817,2,22748,10
5818,2,22749,10
5819,2,22750,10
45102,2,22788,10
21303,2,23010,10
5413,2,23011,10
5414,2,23012,10
5416,2,23082,10
6015,2,23083,10
5417,2,23171,10
5418,2,23172,10
5419,2,23173,10
28209,2,23209,10
28203,2,23212,10
28205,2,23213,10
28204,2,23214,10
28202,2,23215,10
28200,2,23216,10
28199,2,23217,10
28375,2,23227,10
28377,2,23228,10
28378,2,23229,10
28379,2,23230,10
28381,2,23231,10
28382,2,23232,10
28383,2,23233,10
28385,2,23234,10
28386,2,23235,10
28217,2,23246,10
28216,2,23249,10
28215,2,23250,10
28214,2,23251,10
28213,2,23252,10
28212,2,23253,10
28211,2,23254,10
28260,2,23255,10
28259,2,23256,10
28258,2,23257,10
28257,2,23258,10
28256,2,23259,10
28255,2,23260,10
28254,2,23261,10
28253,2,23262,10
28252,2,23263,10
28387,2,23264,10
28388,2,23265,10
28389,2,23266,10
28390,2,23267,10
28391,2,23268,10
28392,2,23269,10
28393,2,23270,10
28394,2,23271,10
28395,2,23272,10
26764,2,31185,10
26830,2,31190,10
21294,2,31191,10
21295,2,31192,10
21327,2,31193,10
28170,2,31231,10
21359,2,31235,10
11166,2,31239,10
11168,2,31240,10
11171,2,31241,10
11172,2,31242,10
11173,2,31243,10
28147,2,31244,10
21315,2,31245,10
11180,2,31247,10
11181,2,31248,10
11183,2,31249,10
28371,2,31250,10
21345,2,31369,10
26871,2,31370,10
21381,2,31371,10
21304,2,31372,10
21305,2,31373,10
21306,2,31374,10
21307,2,31375,10
21308,2,31376,10
28180,2,31378,10
21385,2,31379,10
21386,2,31380,10
21387,2,31381,10
11177,2,31382,10
21388,2,31383,10
26596,2,31384,10
21329,2,31385,10
28162,2,31386,10
28168,2,31442,10
28021,2,31443,10
28169,2,31444,10
28020,2,31445,10
6004,2,31446,10
6005,2,31447,10
6027,2,31449,10
6026,2,31450,10
6022,2,31453,10
6021,2,31454,10
6020,2,31455,10
6019,2,31456,10
6018,2,31457,10
21401,2,31512,10
21402,2,31513,10
21403,2,31515,10
21404,2,31516,10
21309,2,31517,10
21396,2,31518,10
26655,2,31519,10
26654,2,31520,10
11167,2,31658,10
11169,2,31659,10
11170,2,31660,10
11179,2,31661,10
28124,2,31662,10
28161,2,31663,10
28384,2,31664,10
28201,2,31665,10
28210,2,31666,10
28396,2,31667,10
28208,2,31806,10
28207,2,31807,10
28206,2,31808,10
28376,2,31810,10
21320,2,32218,10
26955,2,32219,10
27035,2,32572,10
28449,2,32687,10
26343,2,32861,10
26339,2,32863,10
26340,2,32864,10
28285,2,32877,10
28457,2,32906,10
21317,2,32907,10
27115,2,32908,10
21326,2,32909,10
27116,2,32910,10
27117,2,32911,10
27118,2,32912,10
27119,2,32913,10
27120,2,32914,10
27121,2,32915,10
27122,2,32916,10
21323,2,32917,10
21324,2,32919,10
21310,2,32920,10
21382,2,32921,10
21383,2,32922,10
28151,2,32928,10
21298,2,32929,10
21384,2,32930,10
28132,2,32931,10
26428,2,32932,10
28164,2,32933,10
28363,2,32934,10
26432,2,32935,10
26433,2,32936,10
26434,2,32937,10
26435,2,32938,10
28282,2,32939,10
26820,2,32947,10
26342,2,32998,10
21311,2,33055,10
28283,2,33065,10
21321,2,33068,10
26549,2,33121,10
28380,2,33170,10
27649,2,33307,10
27997,2,33343,10
26540,2,33398,10
26542,2,33401,10
26541,2,33402,10
28284,2,33432,10
26182,2,33472,10
21299,2,33621,10
21300,2,33662,10
28150,2,33739,10
26544,2,33740,10
26341,2,33791,10
25480,2,33882,10
25481,2,33883,10
25482,2,33884,10
25483,2,33885,10
25484,2,33886,10
25485,2,33887,10
25486,2,33888,10
25487,2,33889,10
28131,2,33890,10
25489,2,33891,10
25490,2,33892,10
25491,2,33893,10
28364,2,33894,10
25506,2,33908,10
28281,2,34007,10
28263,2,34009,10
26292,2,34135,10
26293,2,34136,10
26294,2,34137,10
26295,2,34138,10
26299,2,34143,10
26318,2,34144,10
26300,2,34145,10
26322,2,34147,10
26310,2,34152,10
26320,2,34153,10
26333,2,34154,10
26308,2,34155,10
26307,2,34156,10
26321,2,34157,10
28130,2,34158,10
28129,2,34159,10
26304,2,34160,10
26323,2,34161,10
26306,2,34162,10
26297,2,34165,10
26298,2,34166,10
26326,2,34168,10
26311,2,34177,10
26332,2,34178,10
26303,2,34179,10
26330,2,34180,10
28127,2,34234,10
26547,2,34235,10
26531,2,34236,10
26534,2,34239,10
28128,2,34240,10
26537,2,34242,10
26536,2,34243,10
26440,2,34251,10
26441,2,34252,10
26439,2,34273,10
26809,2,34276,10
26810,2,34277,10
28188,2,34285,10
28187,2,34286,10
28186,2,34287,10
28185,2,34288,10
28184,2,34289,10
26662,2,34290,10
28183,2,34291,10
26663,2,34292,10
28182,2,34293,10
28194,2,34294,10
28196,2,34295,10
28195,2,34296,10
28197,2,34297,10
26571,2,34323,10
26568,2,34324,10
26569,2,34325,10
28149,2,34326,10
26572,2,34327,10
28096,2,34443,10
28090,2,34444,10
28095,2,34445,10
28094,2,34446,10
28093,2,34447,10
28092,2,34448,10
28091,2,34449,10
28103,2,34450,10
28102,2,34451,10
28097,2,34452,10
28101,2,34453,10
28098,2,34454,10
28099,2,34455,10
28100,2,34456,10
28264,2,34457,10
28265,2,34458,10
28266,2,34459,10
28267,2,34460,10
28268,2,34461,10
28269,2,34462,10
26829,2,34550,10
28270,2,34800,10
26936,2,34801,10
26937,2,34818,10
27050,2,34851,10
26979,2,34907,10
26983,2,34909,10
27054,2,35008,10
28148,2,35010,10
27058,2,35013,10
27063,2,35014,10
27059,2,35015,10
27060,2,35016,10
27061,2,35017,10
28397,2,35018,10
27055,2,35026,10
27666,2,35542,10
28163,2,35543,10
27662,2,36518,10
27191,2,36634,10
27192,2,36635,10
27193,2,36636,10
27194,2,36637,10
27195,2,36638,10
27198,2,36639,10
27197,2,36650,10
34477,2,36696,10
27356,2,36697,10
27250,2,36698,10
27196,2,36713,10
28126,2,36723,10
28250,2,36727,10
27226,2,36756,10
27227,2,36757,10
27698,2,36763,10
27825,2,36806,10
27826,2,36807,10
27827,2,36808,10
27828,2,36809,10
28125,2,36810,10
27831,2,36811,10
27830,2,36812,10
27829,2,36813,10
