id,BomCode,BomCodeName,CanPacking,Remark,LastUpdatedDateTime,NeedPicking
8578,FKMD1802,"厨柜18mm中高柜上固层(四K○,K1)",0,,2017-03-09 19:08:06.71,
8579,FKFB1805L,厨柜18mm圆弧地柜左侧板(四○),0,,2017-03-09 19:08:06.713,
8580,FKFB1805R,厨柜18mm圆弧地柜右侧板(四○),0,,2017-03-09 19:08:06.713,
8581,FKFG1801,厨柜18mm圆弧地柜背板(四○),0,,2017-03-09 19:08:06.717,
8582,FKFD1801L,"厨柜18mm圆弧地柜上固层(左)(四○R,K3)",0,,2017-03-09 19:08:06.72,
8583,FKFD1801R,"厨柜18mm圆弧地柜上固层(右)(四○R,K3)",0,,2017-03-09 19:08:06.72,
8584,FKFE1805L,"厨柜18mm圆弧地柜下固层(左)(四○R,K3)",0,,2017-03-09 19:08:06.723,
8585,FKFE1805R,"厨柜18mm圆弧地柜下固层(右)(四○R,K3)",0,,2017-03-09 19:08:06.723,
8586,FKFC1801L,"厨柜18mm圆弧中固层(左)(四○R,K3)",0,,2017-03-09 19:08:06.727,
8587,FKFC1801R,"厨柜18mm圆弧中固层(右)(四○R,K3)",0,,2017-03-09 19:08:06.73,
8588,FKWB1801L,厨柜18mm吊柜左侧板(四○),0,,2017-03-09 19:08:06.73,
8589,FKWB1802L,"厨柜18mm吊柜左侧板(四K○,K1)",0,,2017-03-09 19:08:06.733,
8590,FKWB1803L,"厨柜18mm吊柜左侧板(四K○,K3)",0,,2017-03-09 19:08:06.733,
8591,FKWB1804L,"厨柜18mm吊柜左侧板(四○,K3)",0,,2017-03-09 19:08:06.737,
8592,FKWB1801R,厨柜18mm吊柜右侧板(四○),0,,2017-03-09 19:08:06.74,
8593,FKWB1802R,"厨柜18mm吊柜右侧板(四K○,K1)",0,,2017-03-09 19:08:06.74,
8594,FKWB1803R,"厨柜18mm吊柜右侧板(四K○,K3)",0,,2017-03-09 19:08:06.743,
8595,FKWB1804R,"厨柜18mm吊柜右侧板(四○,K3)",0,,2017-03-09 19:08:06.747,
8596,FKWE1801,厨柜18mm吊柜下固层(四○),0,,2017-03-09 19:08:06.747,
8597,FKWE1802,"厨柜18mm吊柜下固层(四K○,K1)",0,,2017-03-09 19:08:06.75,
8598,FKWE1803,"厨柜18mm吊柜下固层(四K○,K3)",0,,2017-03-09 19:08:06.75,
8599,FKWE1804,"厨柜18mm吊柜下固层(四○,K3)",0,,2017-03-09 19:08:06.753,
8600,FKWD1801,厨柜18mm吊柜上固层(四○),0,,2017-03-09 19:08:06.753,
8601,FKWD1802,"厨柜18mm吊柜上固层(四K○,K1)",0,,2017-03-09 19:08:06.757,
8602,FKWD1803,"厨柜18mm吊柜上固层(四K○,K3)",0,,2017-03-09 19:08:06.76,
8603,FKWD1804,"厨柜18mm吊柜上固层(四○,K3)",0,,2017-03-09 19:08:06.76,
8604,FKWB1805L,厨柜18mm圆弧吊柜左侧板(四○),0,,2017-03-09 19:08:06.763,
8605,FKWB1805R,厨柜18mm圆弧吊柜右侧板(四○),0,,2017-03-09 19:08:06.763,
8606,FKWG1801,厨柜18mm圆弧吊柜背板(四○),0,,2017-03-09 19:08:06.767,
8607,FKWD1805L,"厨柜18mm圆弧吊柜上固层(左)(四○R,K3)",0,,2017-03-09 19:08:06.77,
8608,FKWD1805R,"厨柜18mm圆弧吊柜上固层(右)(四○R,K3)",0,,2017-03-09 19:08:06.77,
8609,FKWE1805L,"厨柜18mm圆弧吊柜下固层(左)(四○R,K3)",0,,2017-03-09 19:08:06.773,
8610,FKWE1805R,"厨柜18mm圆弧吊柜下固层(右)(四○R,K3)",0,,2017-03-09 19:08:06.773,
8611,FKPC1801,厨柜18mm中固层(四○),0,,2017-03-09 19:08:06.777,
8612,FKPC1802,"厨柜18mm中固层(四K○,K1)",0,,2017-03-09 19:08:06.78,
8613,FKPC1803,"厨柜18mm中固层(四K○,K3)",0,,2017-03-09 19:08:06.78,
8614,FKPC1804,"厨柜18mm中固层(四○,K3)",0,,2017-03-09 19:08:06.783,
8615,FKPM1801,厨柜18mm中竖板(四○),0,,2017-03-09 19:08:06.783,
8616,FKPM1802,"厨柜18mm中竖板(四K○,K1)",0,,2017-03-09 19:08:06.787,
8617,FKPM1803,"厨柜18mm中竖板(四K○,K3)",0,,2017-03-09 19:08:06.79,
8618,FKPM1804,"厨柜18mm中竖板(四○,K3)",0,,2017-03-09 19:08:06.79,
8619,FKPG0501,厨柜5mm背板,0,,2017-03-09 19:08:06.803,
8620,FKPG1801,厨柜18mm背板(四),0,,2017-03-09 19:08:06.807,
8621,FKPJ1801,厨柜18mm木横梁(四△),0,,2017-03-09 19:08:06.81,
8622,FKPF1801,厨柜18mm背板加固板(四△),0,,2017-03-09 19:08:06.81,
8623,FKPK1801,厨柜18mm柱切横向切角补板(四),0,,2017-03-09 19:08:06.813,
8624,FKPK1802,厨柜18mm柱切竖向切角补板(四),0,,2017-03-09 19:08:06.813,
8625,FKPK1803,"厨柜18mm柱切竖向切角补板(四K,K1)",0,,2017-03-09 19:08:06.817,
8626,FKPH1801,厨柜18mm封板(四),0,,2017-03-09 19:08:06.817,
8627,FKPH1802,厨柜18mm封板(四△),0,,2017-03-09 19:08:06.82,
8628,FKPL1801,厨柜18mm梗门板(四△),0,,2017-03-09 19:08:06.823,
8629,FKPF1802,厨柜18mm加固板(四△),0,,2017-03-09 19:08:06.823,
8630,FKPC1805,厨柜18mm活动中固层(四○),0,,2017-03-09 19:08:06.827,
8631,FKPC1806,"厨柜18mm活动中固层(四K○,K1)",0,,2017-03-09 19:08:06.827,
8632,FKPC1807,"厨柜18mm活动中固层(四K○,K3)",0,,2017-03-09 19:08:06.83,
8633,FKPC1808,"厨柜18mm活动中固层(四○,K3)",0,,2017-03-09 19:08:06.833,
8634,FKPP1801,厨柜罗马柱内盒顶板(四),0,,2017-03-09 19:08:06.837,
8635,FKPB1801,厨柜罗马柱内盒窄侧板(四),0,,2017-03-09 19:08:06.837,
8636,FKPP1802,厨柜罗马柱内盒底板(四),0,,2017-03-09 19:08:06.84,
8637,FKPN1801,厨柜罗马柱内盒前板(四),0,,2017-03-09 19:08:06.84,
8638,FKPN1802,厨柜罗马柱内盒后板(四),0,,2017-03-09 19:08:06.843,
8639,FKPN1803,厨柜罗马柱L型内盒前板(四),0,,2017-03-09 19:08:06.847,
8640,FKPB1802,厨柜罗马柱L型内盒侧板(四),0,,2017-03-09 19:08:06.847,
8641,FKME1803,"厨柜18mm中高柜下固层(四○,K1)",0,,2017-03-09 19:08:06.85,
8642,FKME1804,"厨柜18mm中高柜下固层(四K○,K3)",0,,2017-03-09 19:08:06.85,
8643,FKME1805,"厨柜18mm中高柜下固层(四○,K3)",0,,2017-03-09 19:08:06.853,
8644,FKMD1803,"厨柜18mm中高柜上固层(四○,K1)",0,,2017-03-09 19:08:06.857,
8645,FKMD1804,"厨柜18mm中高柜上固层(四K○,K3)",0,,2017-03-09 19:08:06.857,
8646,FKMD1805,"厨柜18mm中高柜上固层(四○,K3)",0,,2017-03-09 19:08:06.86,
8647,FKWE1805,"厨柜18mm吊柜下固层(四○,K1)",0,,2017-03-09 19:08:06.86,
8648,FKWD1805,"厨柜18mm吊柜上固层(四○,K1)",0,,2017-03-09 19:08:06.863,
8649,FKPJ1802,"厨柜18mm木横梁(四K△,K1)",0,,2017-03-09 19:08:06.867,
8650,FKFD1802,厨柜18mm地柜上固层(四○),0,,2017-03-09 19:08:06.87,
8651,FKFD1803,"厨柜18mm地柜上固层(四K○,K1)",0,,2017-03-09 19:08:06.87,
8652,FKFD1804,"厨柜18mm地柜上固层(四K○,K3)",0,,2017-03-09 19:08:06.873,
8653,FKFD1805,"厨柜18mm地柜上固层(四○,K3)",0,,2017-03-09 19:08:06.873,
8654,FKWE1806,"厨柜18mm吊柜下固层(四K,K1)",0,,2017-03-09 19:08:06.877,
8655,FKFE1805,"厨柜18mm地柜下固层(四K,K1)",0,,2017-03-09 19:08:06.877,
