Id,Code,Name,OrderIndex,Remark,IsDeleted,UpdatedDateTime,CreatedDateTime
76,"四△28,K3",四厚边，一长边宽封边28，做形,414,,0,2012-07-06 14:16:02.517,2012-07-06 14:16:02.517
77, ,不封边,500,,1,2012-07-06 14:45:27.39,2012-07-06 14:45:27.39
78,四○28,见光1H厚宽封边28、不见光1H2L薄边,431,,0,2012-07-06 17:34:08.953,2012-07-06 17:34:08.953
79,"1H2L△,K2",一长两短厚边，开槽或做形,142,,0,2012-07-10 09:22:19.34,2012-07-10 09:22:19.34
80,"1H2L△,K3",一长两短厚边，做形,143,,0,2012-07-10 09:23:11.397,2012-07-10 09:23:11.397
81,"四K○41,K1",见光1H厚宽封边41、不见光1H2L薄边，开槽,464,,0,1753-01-01 00:00:00.0,2012-07-10 21:42:39.75
82,四K○28,一厚三薄,509,,1,1753-01-01 00:00:00.0,2012-07-11 15:33:14.203
83,"四K○28,K1",见光1H厚宽封边28、不见光1H2L薄边，开槽,463,,0,2012-07-11 15:47:07.377,2012-07-11 15:47:07.377
84,-,空,10,,0,2012-07-16 17:33:21.287,2012-07-16 17:33:21.287
85,"2H1L△,K1",二长一短厚边，开槽,251,,0,2012-07-20 14:36:52.767,2012-07-20 14:36:52.767
86,"1H1L△1H1L,K1,K3",一长一短厚边、一长一短薄边，开槽、做形,124,,0,2012-08-30 18:09:30.01,2012-08-30 18:09:30.01
87,"2H△2L,K3",二长厚边、二短薄边，开槽或做形,222,,0,2012-11-05 20:34:20.59,2012-11-05 20:34:20.59
88,1H2L△18,一长两短厚边，宽封边18,144,,0,2013-01-15 08:09:41.787,2013-01-15 08:09:41.787
89,"1H2LK,K1",一长两短薄边，开槽,160,,0,2013-04-18 10:08:48.877,2013-04-18 10:08:48.877
90,"2H1LK,K1",二长一短薄边，开槽,280,,0,2013-04-18 10:09:09.533,2013-04-18 10:09:09.533
91,"1H2L,K1",一长两短薄边，开槽,131,,0,2013-04-18 10:09:33.197,2013-04-18 10:09:33.197
92,"2H1L,K1",二长一短薄边，开槽,241,,0,2013-04-18 10:09:55.21,2013-04-18 10:09:55.21
93,四手,四薄边，全手工封边,470,,0,2013-10-30 16:33:27.03,2013-10-30 16:33:27.03
94,1H2L△1H，K4,见光面三边封厚边，不见光封薄边,153,,0,1753-01-01 00:00:00.0,2013-11-02 13:57:12.287
95,"1H△1H,K3",一长厚边、一长薄边，做形,117,,0,1753-01-01 00:00:00.0,2014-05-15 16:08:40.877
96,2H△,二长厚边,210,,0,2014-05-15 16:09:31.78,2014-05-15 16:09:31.78
97,1H1L木1H1L,1H1L封木皮、1H1L封PVC,501,,0,2014-05-15 16:10:12.56,2014-05-15 16:10:12.56
98,"1H1L木1H1L,K3",1H1L封木皮、1H1L封PVC，做形,502,,0,2014-05-15 16:11:38.437,2014-05-15 16:11:38.437
99,"1H2L木,K3",1H2L封木皮，做形,510,,0,2014-05-15 16:12:06.83,2014-05-15 16:12:06.83
100,1H2L木1H,1H2L封木皮、1H封PVC,511,,0,2014-05-15 16:12:37.53,2014-05-15 16:12:37.53
101,"1H2L木1H,K3",1H2L封木皮、1H封PVC，做形,512,,0,2014-05-15 16:13:12.303,2014-05-15 16:13:12.303
102,1H木,1H封木皮,520,,0,2014-05-15 16:13:41.957,2014-05-15 16:13:41.957
103,"1H木,K3",1H封木皮，做形,521,,0,2014-05-15 16:14:03.487,2014-05-15 16:14:03.487
104,1H木1H,1H封木皮、1H封PVC,522,,0,2014-05-15 16:14:37.79,2014-05-15 16:14:37.79
105,"1H木1H,K3",1H封木皮、1H封PVC，做形,523,,0,2014-05-15 16:15:05.433,2014-05-15 16:15:05.433
106,1H木1H2L,1H封木皮、1H2L封PVC,524,,0,2014-05-15 16:15:36.697,2014-05-15 16:15:36.697
107,"1H木1H2L,K1",1H封木皮、1H2L封PVC，开槽,525,,0,2014-05-15 16:16:01.47,2014-05-15 16:16:01.47
108,"1H木1H2L,K3",1H封木皮、1H2L封PVC，做形,526,,0,2014-05-15 16:16:24.197,2014-05-15 16:16:24.197
109,"1H木2L,K3",1H封木皮、2L封PVC，做形,527,,0,2014-05-15 16:16:57.987,2014-05-15 16:16:57.987
110,1L木,1L封木皮,530,,0,2014-05-15 16:17:19.5,2014-05-15 16:17:19.5
111,1L木2H1L,1L封木皮、2H1L封PVC,532,,0,2014-05-15 16:17:41.98,2014-05-15 16:17:41.98
112,"1L木2H1L,K1",1L封木皮、2H1L封PVC，开槽,533,,0,2014-05-15 16:18:14.46,2014-05-15 16:18:14.46
113,"1L木2H1L,K3",1L封木皮、2H1L封PVC，做形,534,,0,2014-05-15 16:18:42.773,2014-05-15 16:18:42.773
114,"2H1L木,K3",2H1L封木皮，做形,540,,0,2014-05-15 16:19:12.21,2014-05-15 16:19:12.21
115,2H1L木1L,2H1L封木皮、1L封PVC,541,,0,2014-05-15 16:19:37.623,2014-05-15 16:19:37.623
116,"2H1L木1L,K3",2H1L封木皮、1L封PVC，做形,542,,0,2014-05-15 16:20:02.287,2014-05-15 16:20:02.287
117,2H木,2H封木皮,550,,0,2014-05-15 16:20:28.947,2014-05-15 16:20:28.947
118,"2H木,K3",2H封木皮，做形,551,,0,2014-05-15 16:20:52.067,2014-05-15 16:20:52.067
119,"2H木1L,K3",2H封木皮、1L封PVC，做形,552,,0,2014-05-15 16:21:17.12,2014-05-15 16:21:17.12
120,2H木2L,2H封木皮、2L封PVC,553,,0,2014-05-15 16:21:44.7,2014-05-15 16:21:44.7
121,"2H木2L,K3",2H封木皮、2L封PVC，做形,554,,0,2014-05-15 16:22:15.307,2014-05-15 16:22:15.307
122,2L木2H,2L封木皮、2H封PVC,560,,0,2014-05-15 16:22:57.053,2014-05-15 16:22:57.053
123,"2L木2H,K3",2L封木皮、2H封PVC，做形,561,,0,2014-05-15 16:23:24.837,2014-05-15 16:23:24.837
124,四木,四边封木皮,570,,0,2014-05-15 16:23:55.507,2014-05-15 16:23:55.507
125,"四木,K1",四边封木皮，开槽,571,,0,2014-05-15 16:24:23.087,2014-05-15 16:24:23.087
126,"四木,K3",四边封木皮，做形,572,,0,2014-05-15 16:25:43.553,2014-05-15 16:25:43.553
127,1H1L油1H1L,1H1L封PVC后喷漆、1H1L封PVC,601,,0,2014-05-15 16:26:14.457,2014-05-15 16:26:14.457
128,"1H1L油1H1L,K3",1H1L封PVC后喷漆、1H1L封PVC，做形,602,,0,2014-05-15 16:30:07.117,2014-05-15 16:30:07.117
129,"1H2L油,K3",1H2L封PVC后喷漆，做形,610,,0,2014-05-15 16:30:33.777,2014-05-15 16:30:33.777
130,1H2L油1H,1H2L封PVC后喷漆、1H封PVC,611,,0,2014-05-15 16:30:58.003,2014-05-15 16:30:58.003
131,"1H2L油1H,K3",1H2L封PVC后喷漆、1H封PVC，做形,636,,0,2014-05-15 16:31:57.593,2014-05-15 16:31:57.593
132,1H油,1H封PVC后喷漆,620,,0,2014-05-15 16:32:36.75,2014-05-15 16:32:36.75
