Id,Name,OrderIndex,UpdatedDateTime,CreatedDateTime,IsDeleted,Remark,EdgeBandingColor,Color2020,PriorityFlag,PaintGoods,IsOrder,EPType
127,B42T,72420,2017-05-31 17:25:14.367,2012-07-01 14:41:08.883,0,215SPGC,B42T,,,Y,1,2
128,B41,241,2012-07-13 15:45:17.0,2012-07-01 14:42:39.83,1,2031GC,B41,,,N,1,
129,B39,72390,2017-05-31 17:26:49.96,2012-07-01 14:43:20.593,0,2050GC(MX),B39,,,N,1,2
130,A81,71810,2017-05-31 17:37:46.6,2012-07-01 17:12:20.05,0,40904-2,A81,,,N,1,2
131,A26,71260,2017-05-31 17:52:19.18,2012-07-02 09:32:35.183,0,40916,A26,,,N,1,2
132,A26S,71261,2017-05-31 17:52:24.457,2012-07-02 09:33:13.59,0,40916S,A26,,,N,1,2
133,A95T,71950,2017-05-31 17:36:08.867,2012-07-02 09:52:39.94,0,09/ºìÓ°Ä¾,A95T,,,Y,1,2
134,B40S,72401,2017-05-31 17:25:57.673,2012-07-02 17:12:35.937,0,2078GCS,B40,,,N,1,2
135,B44S,72441,2017-05-31 17:24:37.8,2012-07-05 08:30:59.22,0,2057GCS(ML),B44,,,N,1,2
136,B45S,72451,2017-05-31 17:24:10.46,2012-07-05 08:37:15.01,0,2081GCS(MX),B45,,,N,1,2
137,A66S,71661,2017-05-31 17:41:40.03,2012-07-05 09:51:20.0,0,2033GCS,A66,,,N,1,2
138,A72,71720,2017-05-31 17:40:13.99,2012-07-06 09:07:05.663,0,2047GC,A72,,,N,1,2
139,A48S,71481,2017-05-31 17:49:26.013,2012-07-06 09:08:21.697,0,1023GCS,A48,,,N,1,2
140,A41S,71411,2017-05-31 17:50:26.363,2012-07-06 09:09:13.437,0,1013GCS,A41,,,N,1,2
141,A41,71410,2017-05-31 17:50:20.363,2012-07-06 11:57:23.697,0,1013GC,A41,,,N,1,2
142,A48,71480,2017-05-31 17:49:20.917,2012-07-06 12:01:57.957,0,1023GC,A48,,,N,1,2
143,A66,71660,2017-05-31 17:41:34.92,2012-07-06 12:02:41.537,0,2033GC,A66,,,N,1,2
144,A65,71650,2017-05-31 17:45:42.453,2012-07-06 17:22:07.717,0,2032GC,A65,,,N,1,2
145,A65S,71651,2017-05-31 17:45:48.227,2012-07-06 17:22:24.953,0,2032GCS,A65,,,N,1,2
146,ºÚ¾µ,247,2012-07-06 20:54:52.0,2012-07-06 18:51:57.383,1,,=,,,N,1,
147,-,248,2012-07-10 15:29:33.0,2012-07-06 20:54:44.957,1,¿Õ,,,,N,1,
148,113PX,88,2012-07-07 23:31:29.0,2012-07-07 22:26:49.523,1,Æ¤¸ï³µÏß,,,,N,1,
149,B39S,72391,2017-05-31 17:26:58.803,2012-07-10 15:28:48.47,0,2050GCS(MX),B39,,,N,1,2
150,-,999,2012-07-14 13:21:58.0,2012-07-10 15:30:04.8,1,-,-,,,N,1,
151,B53,72530,2017-05-31 17:21:56.92,2012-07-10 19:39:40.623,0,2068GC(MS),B53,,,N,1,2
152,B53S,72531,2017-05-31 17:22:09.057,2012-07-10 19:40:02.117,0,2068GCS(MS),B53,,,N,1,2
153,B46S,72461,2017-05-31 17:23:48.827,2012-07-11 10:05:17.343,0,1038GCS(MS),B46,,,N,1,2
154,B12,247,2012-07-13 14:43:13.0,2012-07-12 08:30:07.367,1,206,206,,,N,1,
155,B12S,257,2012-07-13 14:43:07.0,2012-07-12 08:30:31.033,1,206S,206,,,N,1,
156,A72S,71721,2017-05-31 17:40:19.72,2012-07-12 17:10:26.42,0,2047GCS,A72,,,N,1,2
157,A34,71340,2017-05-31 17:51:00.367,2012-07-13 15:44:49.077,0,2031GC,A34,,,N,1,2
158,A34S,71341,2017-05-31 17:51:04.713,2012-07-13 15:45:10.817,0,2031GCS,A34,,,N,1,2
159,201A,9,2012-07-14 13:22:55.0,2012-07-14 13:21:49.96,1,ÎÚÄ¾×Ø26,201,,,N,1,
160,202A,12,2016-04-14 09:40:40.0,2012-07-14 13:24:01.24,1,ºìÓ£ÌÒ26,202,,1,Y,1,
161,201A,12,2016-04-14 09:40:43.0,2012-07-14 13:25:09.27,1,ÎÚÄ¾×Ø26,201,,1,Y,1,
162,203A,12,2016-04-14 09:40:45.0,2012-07-14 13:26:11.83,1,ÏóÑÀ°×26,203,,1,Y,1,
163,B12,72120,2017-05-31 17:33:15.983,2012-07-19 16:54:44.34,0,206(MX),206,,,N,1,2
