Id,MaterialId,OrgId,ProductOrg
1042,42421,192,85
1043,42421,208,85
1080,40766,121,85
1081,40766,192,85
1082,40766,208,85
1089,43651,121,85
1090,43651,192,85
1091,43651,208,85
1092,43652,121,85
1093,43652,192,85
1094,43652,208,85
1095,43654,121,85
1096,43654,192,85
1097,43654,208,85
1098,43655,121,85
1099,43655,192,85
1100,43655,208,85
1101,43656,121,85
1102,43656,192,85
1103,43656,208,85
1104,43800,121,85
1105,43800,192,85
1106,43800,208,85
1110,43809,121,85
1111,43809,192,85
1112,43809,208,85
1113,43666,121,85
1114,43666,192,85
1115,43666,208,85
1116,43667,121,85
1117,43667,192,85
1118,43667,208,85
1142,39634,121,85
1143,39634,192,85
1144,39634,208,85
1163,19957,192,85
1172,44058,121,85
1173,44058,192,85
1174,44058,208,85
1175,44060,121,85
1176,44060,192,85
1177,44060,208,85
1178,44061,121,85
1179,44061,192,85
1180,44061,208,85
1181,44059,121,85
1182,44059,192,85
1183,44059,208,85
1216,32043,121,85
1217,32043,192,85
1218,32043,208,85
1219,32044,121,85
1220,32044,192,85
1221,32044,208,85
1222,32045,121,85
1223,32045,192,85
1224,32045,208,85
1225,32046,121,85
1226,32046,192,85
1227,32046,208,85
1234,40656,121,85
1235,40656,192,85
1236,40656,208,85
1244,41618,121,85
1245,41618,192,85
1246,41618,208,85
1247,21037,192,85
1248,21038,192,85
1339,34412,121,85
1340,34412,192,85
1341,34412,208,85
1378,47152,121,85
1379,47152,192,85
1380,47152,208,85
1393,47159,121,85
1394,47159,192,85
1395,47159,208,85
1399,45862,121,85
1400,45862,192,85
1401,45862,208,85
1402,32048,121,85
1403,32048,192,85
1404,32048,208,85
1408,32047,121,85
1409,32047,192,85
1410,32047,208,85
1743,48114,121,85
1744,48114,192,85
1745,48114,208,85
1749,48115,121,85
1750,48115,192,85
1751,48115,208,85
1752,46184,121,85
1753,46184,208,85
1754,46185,121,85
1755,46185,208,85
3978,46158,121,85
3979,46158,192,85
3980,46158,208,85
3981,49497,121,85
3982,49497,192,85
3983,49497,208,85
3984,49498,121,85
3985,49498,192,85
3986,49498,208,85
3987,49499,121,85
3988,49499,192,85
3989,49499,208,85
3990,49500,121,85
3991,49500,192,85
3992,49500,208,85
3993,49501,121,85
3994,49501,192,85
3995,49501,208,85
3996,49502,121,85
3997,49502,192,85
3998,49502,208,85
5222,37542,121,85
5223,37542,192,85
5224,37542,208,85
5231,37917,121,85
5232,37917,192,85
5233,37917,208,85
5234,39663,121,85
5235,39663,192,85
5236,39663,208,85
5237,39664,121,85
5238,39664,192,85
5239,39664,208,85
5240,39665,121,85
5241,39665,192,85
5242,39665,208,85
5243,40699,121,85
5244,40699,192,85
5245,40699,208,85
5246,41869,121,85
5247,41869,192,85
5248,41869,208,85
5249,41870,121,85
5250,41870,192,85
5251,41870,208,85
5255,43038,121,85
5256,43038,192,85
5257,43038,208,85
5258,43039,121,85
5259,43039,192,85
5260,43039,208,85
5267,44017,121,85
5268,44017,192,85
5269,44017,208,85
5270,44018,121,85
5271,44018,192,85
5272,44018,208,85
5273,44168,121,85
5274,44168,192,85
5275,44168,208,85
5276,45882,121,85
5277,45882,192,85
5278,45882,208,85
5279,45883,121,85
5280,45883,192,85
5281,45883,208,85
5282,45912,121,85
5283,45912,192,85
5284,45912,208,85
5285,45913,121,85
5286,45913,192,85
5287,45913,208,85
5288,46161,121,85
5289,46161,192,85
5290,46161,208,85
5291,46162,121,85
5292,46162,192,85
5293,46162,208,85
5294,46163,121,85
5295,46163,192,85
5296,46163,208,85
5297,46164,121,85
5298,46164,192,85
5299,46164,208,85
5300,46165,121,85
5301,46165,192,85
5302,46165,208,85
5303,46176,121,85
5304,46176,192,85
5305,46176,208,85
5306,46177,121,85
5307,46177,192,85
5308,46177,208,85
5309,46178,121,85
5310,46178,192,85
5311,46178,208,85
5312,47155,121,85
5313,47155,192,85
5314,47155,208,85
5315,47156,121,85
5316,47156,192,85
5317,47156,208,85
5318,47157,121,85
5319,47157,192,85
5320,47157,208,85
5321,47158,121,85
5322,47158,192,85
5323,47158,208,85
5324,47334,121,85
5325,47334,192,85
5326,47334,208,85
5327,47335,121,85
5328,47335,192,85
5329,47335,208,85
5330,47336,121,85
5331,47336,192,85
5332,47336,208,85
5336,47389,121,85
5337,47389,192,85
5338,47389,208,85
5339,47390,121,85
5340,47390,192,85
5341,47390,208,85
5342,47391,121,85
5343,47391,192,85
5344,47391,208,85
5345,47392,121,85
5346,47392,192,85
5347,47392,208,85
5354,47487,121,85
5355,47487,192,85
5356,47487,208,85
5366,47491,121,85
5367,47491,192,85
5368,47491,208,85
5369,47492,121,85
5370,47492,192,85
5371,47492,208,85
5372,47493,121,85
5373,47493,192,85
5374,47493,208,85
5375,47494,121,85
5376,47494,192,85
5377,47494,208,85
5378,47495,121,85
5379,47495,192,85
5380,47495,208,85
5381,47496,121,85
5382,47496,192,85
5383,47496,208,85
5387,47516,121,85
5388,47516,192,85
5389,47516,208,85
5390,47517,121,85
5391,47517,192,85
5392,47517,208,85
5393,47519,121,85
5394,47519,192,85
5395,47519,208,85
5396,47593,121,85
5397,47593,192,85
5398,47593,208,85
5399,47594,121,85
5400,47594,192,85
5401,47594,208,85
5402,47595,121,85
5403,47595,192,85
5404,47595,208,85
5405,47596,121,85
5406,47596,192,85
5407,47596,208,85
5408,47597,121,85
5409,47597,192,85
5410,47597,208,85
5414,48052,121,85
5415,48052,192,85
5416,48052,208,85
5417,48053,121,85
5418,48053,192,85
5419,48053,208,85
5420,48054,121,85
5421,48054,192,85
5422,48054,208,85
5423,48055,121,85
5424,48055,192,85
5425,48055,208,85
5426,48056,121,85
5427,48056,192,85
5428,48056,208,85
5429,48070,121,85
5430,48070,192,85
5431,48070,208,85
5432,48729,121,85
5433,48729,192,85
5434,48729,208,85
5435,48771,121,85
5436,48771,192,85
5437,48771,208,85
5438,48772,121,85
5439,48772,192,85
5440,48772,208,85
5441,48773,121,85
5442,48773,192,85
5443,48773,208,85
5444,48774,121,85
5445,48774,192,85
5446,48774,208,85
5447,48775,121,85
5448,48775,192,85
5449,48775,208,85
5450,48776,121,85
5451,48776,192,85
5452,48776,208,85
5453,48777,121,85
5454,48777,192,85
5455,48777,208,85
5456,48778,121,85
5457,48778,192,85
5458,48778,208,85
5459,48779,121,85
5460,48779,192,85
5461,48779,208,85
5462,48780,121,85
5463,48780,192,85
5464,48780,208,85
5465,48781,121,85
5466,48781,192,85
5467,48781,208,85
5468,48782,121,85
5469,48782,192,85
5470,48782,208,85
5471,48783,121,85
5472,48783,192,85
5473,48783,208,85
5474,48784,121,85
5475,48784,192,85
5476,48784,208,85
5477,48785,121,85
5478,48785,192,85
5479,48785,208,85
5480,48786,121,85
5481,48786,192,85
5482,48786,208,85
5483,48787,121,85
